canaryId	canaryKind	sinkKind	injectionDriverId
CANARY_001	BEFORE_VALUE	APPLICATION_LOG	DRIVER_BEFORE_VALUE_APPLICATION_LOG
CANARY_002	BEFORE_VALUE	MAVEN_LOG	DRIVER_BEFORE_VALUE_MAVEN_LOG
CANARY_003	BEFORE_VALUE	EXCEPTION	DRIVER_BEFORE_VALUE_EXCEPTION
CANARY_004	BEFORE_VALUE	METER	DRIVER_BEFORE_VALUE_METER
CANARY_005	BEFORE_VALUE	ACTUATOR	DRIVER_BEFORE_VALUE_ACTUATOR
CANARY_006	BEFORE_VALUE	SUREFIRE	DRIVER_BEFORE_VALUE_SUREFIRE
CANARY_007	BEFORE_VALUE	FAILSAFE	DRIVER_BEFORE_VALUE_FAILSAFE
CANARY_008	BEFORE_VALUE	DEPENDENCY_TREE	DRIVER_BEFORE_VALUE_DEPENDENCY_TREE
CANARY_009	BEFORE_VALUE	JSON	DRIVER_BEFORE_VALUE_JSON
CANARY_010	BEFORE_VALUE	TSV	DRIVER_BEFORE_VALUE_TSV
CANARY_011	BEFORE_VALUE	ARTIFACT	DRIVER_BEFORE_VALUE_ARTIFACT
CANARY_012	AFTER_VALUE	APPLICATION_LOG	DRIVER_AFTER_VALUE_APPLICATION_LOG
CANARY_013	AFTER_VALUE	MAVEN_LOG	DRIVER_AFTER_VALUE_MAVEN_LOG
CANARY_014	AFTER_VALUE	EXCEPTION	DRIVER_AFTER_VALUE_EXCEPTION
CANARY_015	AFTER_VALUE	METER	DRIVER_AFTER_VALUE_METER
CANARY_016	AFTER_VALUE	ACTUATOR	DRIVER_AFTER_VALUE_ACTUATOR
CANARY_017	AFTER_VALUE	SUREFIRE	DRIVER_AFTER_VALUE_SUREFIRE
CANARY_018	AFTER_VALUE	FAILSAFE	DRIVER_AFTER_VALUE_FAILSAFE
CANARY_019	AFTER_VALUE	DEPENDENCY_TREE	DRIVER_AFTER_VALUE_DEPENDENCY_TREE
CANARY_020	AFTER_VALUE	JSON	DRIVER_AFTER_VALUE_JSON
CANARY_021	AFTER_VALUE	TSV	DRIVER_AFTER_VALUE_TSV
CANARY_022	AFTER_VALUE	ARTIFACT	DRIVER_AFTER_VALUE_ARTIFACT
CANARY_023	CREDENTIAL	APPLICATION_LOG	DRIVER_CREDENTIAL_APPLICATION_LOG
CANARY_024	CREDENTIAL	MAVEN_LOG	DRIVER_CREDENTIAL_MAVEN_LOG
CANARY_025	CREDENTIAL	EXCEPTION	DRIVER_CREDENTIAL_EXCEPTION
CANARY_026	CREDENTIAL	METER	DRIVER_CREDENTIAL_METER
CANARY_027	CREDENTIAL	ACTUATOR	DRIVER_CREDENTIAL_ACTUATOR
CANARY_028	CREDENTIAL	SUREFIRE	DRIVER_CREDENTIAL_SUREFIRE
CANARY_029	CREDENTIAL	FAILSAFE	DRIVER_CREDENTIAL_FAILSAFE
CANARY_030	CREDENTIAL	DEPENDENCY_TREE	DRIVER_CREDENTIAL_DEPENDENCY_TREE
CANARY_031	CREDENTIAL	JSON	DRIVER_CREDENTIAL_JSON
CANARY_032	CREDENTIAL	TSV	DRIVER_CREDENTIAL_TSV
CANARY_033	CREDENTIAL	ARTIFACT	DRIVER_CREDENTIAL_ARTIFACT
CANARY_034	TOKEN	APPLICATION_LOG	DRIVER_TOKEN_APPLICATION_LOG
CANARY_035	TOKEN	MAVEN_LOG	DRIVER_TOKEN_MAVEN_LOG
CANARY_036	TOKEN	EXCEPTION	DRIVER_TOKEN_EXCEPTION
CANARY_037	TOKEN	METER	DRIVER_TOKEN_METER
CANARY_038	TOKEN	ACTUATOR	DRIVER_TOKEN_ACTUATOR
CANARY_039	TOKEN	SUREFIRE	DRIVER_TOKEN_SUREFIRE
CANARY_040	TOKEN	FAILSAFE	DRIVER_TOKEN_FAILSAFE
CANARY_041	TOKEN	DEPENDENCY_TREE	DRIVER_TOKEN_DEPENDENCY_TREE
CANARY_042	TOKEN	JSON	DRIVER_TOKEN_JSON
CANARY_043	TOKEN	TSV	DRIVER_TOKEN_TSV
CANARY_044	TOKEN	ARTIFACT	DRIVER_TOKEN_ARTIFACT
CANARY_045	PII	APPLICATION_LOG	DRIVER_PII_APPLICATION_LOG
CANARY_046	PII	MAVEN_LOG	DRIVER_PII_MAVEN_LOG
CANARY_047	PII	EXCEPTION	DRIVER_PII_EXCEPTION
CANARY_048	PII	METER	DRIVER_PII_METER
CANARY_049	PII	ACTUATOR	DRIVER_PII_ACTUATOR
CANARY_050	PII	SUREFIRE	DRIVER_PII_SUREFIRE
CANARY_051	PII	FAILSAFE	DRIVER_PII_FAILSAFE
CANARY_052	PII	DEPENDENCY_TREE	DRIVER_PII_DEPENDENCY_TREE
CANARY_053	PII	JSON	DRIVER_PII_JSON
CANARY_054	PII	TSV	DRIVER_PII_TSV
CANARY_055	PII	ARTIFACT	DRIVER_PII_ARTIFACT
CANARY_056	ENTITY_KEY	APPLICATION_LOG	DRIVER_ENTITY_KEY_APPLICATION_LOG
CANARY_057	ENTITY_KEY	MAVEN_LOG	DRIVER_ENTITY_KEY_MAVEN_LOG
CANARY_058	ENTITY_KEY	EXCEPTION	DRIVER_ENTITY_KEY_EXCEPTION
CANARY_059	ENTITY_KEY	METER	DRIVER_ENTITY_KEY_METER
CANARY_060	ENTITY_KEY	ACTUATOR	DRIVER_ENTITY_KEY_ACTUATOR
CANARY_061	ENTITY_KEY	SUREFIRE	DRIVER_ENTITY_KEY_SUREFIRE
CANARY_062	ENTITY_KEY	FAILSAFE	DRIVER_ENTITY_KEY_FAILSAFE
CANARY_063	ENTITY_KEY	DEPENDENCY_TREE	DRIVER_ENTITY_KEY_DEPENDENCY_TREE
CANARY_064	ENTITY_KEY	JSON	DRIVER_ENTITY_KEY_JSON
CANARY_065	ENTITY_KEY	TSV	DRIVER_ENTITY_KEY_TSV
CANARY_066	ENTITY_KEY	ARTIFACT	DRIVER_ENTITY_KEY_ARTIFACT
CANARY_067	STORE_KEY	APPLICATION_LOG	DRIVER_STORE_KEY_APPLICATION_LOG
CANARY_068	STORE_KEY	MAVEN_LOG	DRIVER_STORE_KEY_MAVEN_LOG
CANARY_069	STORE_KEY	EXCEPTION	DRIVER_STORE_KEY_EXCEPTION
CANARY_070	STORE_KEY	METER	DRIVER_STORE_KEY_METER
CANARY_071	STORE_KEY	ACTUATOR	DRIVER_STORE_KEY_ACTUATOR
CANARY_072	STORE_KEY	SUREFIRE	DRIVER_STORE_KEY_SUREFIRE
CANARY_073	STORE_KEY	FAILSAFE	DRIVER_STORE_KEY_FAILSAFE
CANARY_074	STORE_KEY	DEPENDENCY_TREE	DRIVER_STORE_KEY_DEPENDENCY_TREE
CANARY_075	STORE_KEY	JSON	DRIVER_STORE_KEY_JSON
CANARY_076	STORE_KEY	TSV	DRIVER_STORE_KEY_TSV
CANARY_077	STORE_KEY	ARTIFACT	DRIVER_STORE_KEY_ARTIFACT
