workloadId	scenario	threads	fixtureManifestPath	fixtureManifestSha256	semanticOraclePath	semanticOracleSha256	benchmarkEnvironmentPath	benchmarkEnvironmentSha256	runnerProfile	evidenceCommandId	commandSpecSha256	absoluteP99NanosMax	baselineArtifactSetSha256	maxRegressionPercent	allocationBytesPerOpMax
PERF-NESTED_POJO-1	NESTED_POJO	1	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-NESTED_POJO-8	NESTED_POJO	8	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-NESTED_POJO-32	NESTED_POJO	32	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-LIST-1	LIST	1	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-LIST-8	LIST	8	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-LIST-32	LIST	32	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-MAP-1	MAP	1	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-MAP-8	MAP	8	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-MAP-32	MAP	32	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-SET_SCALAR-1	SET_SCALAR	1	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
