policyId	authority:test-policy
reviewAssignmentId	assignment:test-review
repository	https://github.com/shiyongyin/TaskFlowInsight
protectedRef	refs/heads/main
candidateRevision	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
finalVersion	4.0.0
releaseTarget	INTERNAL_REPOSITORY:https://repo.example.test/releases
externalPublicationAuthority	NONE
externalPublicationAuthoritySha256	-
publishArtifactManifest	publish.tsv
publishArtifactManifestSha256	cf0a6f8746b9c476388cb330c434cdeb6adf25d0b91e0f9bfbcc9213cd5440d0
runtimePerformancePolicy	performance.tsv
runtimePerformancePolicySha256	6fc4e9bb97c313e18c5c4a9120502c464d142da8ee748b4f8d60ca1b2fe4618a
compatibilityMatrix	compatibility.tsv
compatibilityMatrixSha256	55c9ca90858bded723132521c91e60002d31b4c627ca732b38aa334ccdd64c44
releaseExecutionPolicy	executions.tsv
releaseExecutionPolicySha256	e9997862d0368e4c341aca74eb9a2248422691a99890f32d7389c806473ffa60
buildToolchainManifest	toolchain.tsv
buildToolchainManifestSha256	669832d7e40e5c00dac807a1edaa0e7b51a471b8db5383301a804e4992e62966
productionAuthoritiesManifest	authorities.tsv
productionAuthoritiesManifestSha256	a8fea6807e87144fc1c53ac61cf4835bbd01e0217dd0c0f7ec261a24ae8506ee
trustedBuilder	https://issuer.example.test|builder/test
provenanceWorkflow	github.com/shiyongyin/TaskFlowInsight|.github/workflows/release.yml|bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
licensePolicy	licenses.tsv
licensePolicySha256	b33109250a42abf4183d01b98e5daa3874fdb22fa0cbca02280a49c3a328a5ad
vulnerabilityScanner	fixture@1.0.0#bundle-sha256:cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
vulnerabilityFailCvssThreshold	7.0
vulnerabilityDbMaxAgeHours	24
secretScanner	fixture@1.0.0#bundle-sha256:cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
sbomGenerator	fixture@1.0.0#bundle-sha256:cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
sbomFormat	CycloneDX-1.6
requiredSignatures	NONE
