ordinal	subjectOrdinal	subjectCoordinate	repositoryPath	role	sidecarKind
1	-	com.syy:taskflowinsight-parent:pom:4.0.0	com/syy/taskflowinsight-parent/4.0.0/taskflowinsight-parent-4.0.0.pom	POM	-
2	-	com.syy:tfi-flow-core:pom:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0.pom	POM	-
3	-	com.syy:tfi-flow-core:jar:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0.jar	BINARY	-
4	-	com.syy:tfi-flow-core:jar:sources:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0-sources.jar	SOURCES	-
5	-	com.syy:tfi-flow-core:jar:javadoc:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0-javadoc.jar	JAVADOC	-
6	-	com.syy:tfi-flow-spring-starter:pom:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0.pom	POM	-
7	-	com.syy:tfi-flow-spring-starter:jar:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0.jar	BINARY	-
8	-	com.syy:tfi-flow-spring-starter:jar:sources:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0-sources.jar	SOURCES	-
9	-	com.syy:tfi-flow-spring-starter:jar:javadoc:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0-javadoc.jar	JAVADOC	-
10	-	com.syy:tfi-compare:pom:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0.pom	POM	-
11	-	com.syy:tfi-compare:jar:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0.jar	BINARY	-
12	-	com.syy:tfi-compare:jar:sources:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0-sources.jar	SOURCES	-
13	-	com.syy:tfi-compare:jar:javadoc:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0-javadoc.jar	JAVADOC	-
14	-	com.syy:tfi-compare-spring-starter:pom:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0.pom	POM	-
15	-	com.syy:tfi-compare-spring-starter:jar:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0.jar	BINARY	-
16	-	com.syy:tfi-compare-spring-starter:jar:sources:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0-sources.jar	SOURCES	-
17	-	com.syy:tfi-compare-spring-starter:jar:javadoc:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0-javadoc.jar	JAVADOC	-
18	-	com.syy:tfi-ops-spring:pom:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0.pom	POM	-
19	-	com.syy:tfi-ops-spring:jar:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0.jar	BINARY	-
20	-	com.syy:tfi-ops-spring:jar:sources:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0-sources.jar	SOURCES	-
21	-	com.syy:tfi-ops-spring:jar:javadoc:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0-javadoc.jar	JAVADOC	-
22	-	com.syy:TaskFlowInsight:pom:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0.pom	POM	-
23	-	com.syy:TaskFlowInsight:jar:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0.jar	BINARY	-
24	-	com.syy:TaskFlowInsight:jar:sources:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0-sources.jar	SOURCES	-
25	-	com.syy:TaskFlowInsight:jar:javadoc:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0-javadoc.jar	JAVADOC	-
26	1	com.syy:taskflowinsight-parent:pom:4.0.0	com/syy/taskflowinsight-parent/4.0.0/taskflowinsight-parent-4.0.0.pom.sha256	CHECKSUM	SHA256
27	1	com.syy:taskflowinsight-parent:pom:4.0.0	com/syy/taskflowinsight-parent/4.0.0/taskflowinsight-parent-4.0.0.pom.sha512	CHECKSUM	SHA512
28	2	com.syy:tfi-flow-core:pom:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0.pom.sha256	CHECKSUM	SHA256
29	2	com.syy:tfi-flow-core:pom:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0.pom.sha512	CHECKSUM	SHA512
30	3	com.syy:tfi-flow-core:jar:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0.jar.sha256	CHECKSUM	SHA256
31	3	com.syy:tfi-flow-core:jar:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0.jar.sha512	CHECKSUM	SHA512
32	4	com.syy:tfi-flow-core:jar:sources:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0-sources.jar.sha256	CHECKSUM	SHA256
33	4	com.syy:tfi-flow-core:jar:sources:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0-sources.jar.sha512	CHECKSUM	SHA512
34	5	com.syy:tfi-flow-core:jar:javadoc:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0-javadoc.jar.sha256	CHECKSUM	SHA256
35	5	com.syy:tfi-flow-core:jar:javadoc:4.0.0	com/syy/tfi-flow-core/4.0.0/tfi-flow-core-4.0.0-javadoc.jar.sha512	CHECKSUM	SHA512
36	6	com.syy:tfi-flow-spring-starter:pom:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0.pom.sha256	CHECKSUM	SHA256
37	6	com.syy:tfi-flow-spring-starter:pom:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0.pom.sha512	CHECKSUM	SHA512
38	7	com.syy:tfi-flow-spring-starter:jar:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0.jar.sha256	CHECKSUM	SHA256
39	7	com.syy:tfi-flow-spring-starter:jar:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0.jar.sha512	CHECKSUM	SHA512
40	8	com.syy:tfi-flow-spring-starter:jar:sources:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0-sources.jar.sha256	CHECKSUM	SHA256
41	8	com.syy:tfi-flow-spring-starter:jar:sources:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0-sources.jar.sha512	CHECKSUM	SHA512
42	9	com.syy:tfi-flow-spring-starter:jar:javadoc:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0-javadoc.jar.sha256	CHECKSUM	SHA256
43	9	com.syy:tfi-flow-spring-starter:jar:javadoc:4.0.0	com/syy/tfi-flow-spring-starter/4.0.0/tfi-flow-spring-starter-4.0.0-javadoc.jar.sha512	CHECKSUM	SHA512
44	10	com.syy:tfi-compare:pom:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0.pom.sha256	CHECKSUM	SHA256
45	10	com.syy:tfi-compare:pom:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0.pom.sha512	CHECKSUM	SHA512
46	11	com.syy:tfi-compare:jar:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0.jar.sha256	CHECKSUM	SHA256
47	11	com.syy:tfi-compare:jar:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0.jar.sha512	CHECKSUM	SHA512
48	12	com.syy:tfi-compare:jar:sources:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0-sources.jar.sha256	CHECKSUM	SHA256
49	12	com.syy:tfi-compare:jar:sources:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0-sources.jar.sha512	CHECKSUM	SHA512
50	13	com.syy:tfi-compare:jar:javadoc:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0-javadoc.jar.sha256	CHECKSUM	SHA256
51	13	com.syy:tfi-compare:jar:javadoc:4.0.0	com/syy/tfi-compare/4.0.0/tfi-compare-4.0.0-javadoc.jar.sha512	CHECKSUM	SHA512
52	14	com.syy:tfi-compare-spring-starter:pom:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0.pom.sha256	CHECKSUM	SHA256
53	14	com.syy:tfi-compare-spring-starter:pom:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0.pom.sha512	CHECKSUM	SHA512
54	15	com.syy:tfi-compare-spring-starter:jar:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0.jar.sha256	CHECKSUM	SHA256
55	15	com.syy:tfi-compare-spring-starter:jar:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0.jar.sha512	CHECKSUM	SHA512
