kind	id	status	token	ownerTask	authorityPath
BASELINE_AUTH	STATIC-BASELINE-CORE-SPLIT	AUTHORIZED	ADD_CORE_AND_RECONCILE_UNION_ONCE	CMP-EXT-05	tfi-compare/docs/release-hardening-task/INDEX.md
GATE	EXT_G1	ACCEPTED	EXTRACT_CORE_BEFORE_KERNEL_DIFF	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G10	ACCEPTED	TIERED_RELEASE_GATES	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G11	ACCEPTED	PRE_NORMALIZE_TRACKING_PORT	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G12	ACCEPTED	DEPENDENCY_RESOLVED_CLASSPATH_COMPAT	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G13	ACCEPTED	REACTOR_VERSIONED_RC	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G14	ACCEPTED	GOVERNANCE_SYNC_BEFORE_CODE	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G15	ACCEPTED	ZERO_RAW_VALUE_LOGGING	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G2	ACCEPTED	IN_REACTOR_MODULE	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G3	ACCEPTED	TFI_COMPARE_CORE_ARTIFACT	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G4	ACCEPTED	TRUTH_AND_CANONICAL_REPRESENTATION	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G5	ACCEPTED	COMPAT_SHELL_NORMAL_EVOLUTION	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G6	ACCEPTED	JAVA_21_BASELINE	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G7	ACCEPTED	CORE_DIRECT_EXAMPLE_FIRST	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G8	ACCEPTED	DESIGN_BEFORE_CODE	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
GATE	EXT_G9	ACCEPTED	EXPLICIT_SEAMS_NO_RUNTIME_LOOKUP	CMP-EXT-00A	tfi-compare/docs/ssot-convergence-design.md
SUPERSESSION	HRD-INDEX	SYNCED	EXTRACTION_ADR_DECOUPLED_FROM_KDF_D1	CMP-EXT-00A	tfi-compare/docs/release-hardening-task/INDEX.md
SUPERSESSION	INTEGRATION-REVIEW-D	SYNCED	SCHEME_D_SUPERSEDED_BY_EXT_G1	CMP-EXT-00A	docs/adr/ADR-016-TFI-Kernel-Compare-Core-Composition.md
SUPERSESSION	KDF-D1	SYNCED	SUPERSEDED_BY_EXT_G1	CMP-EXT-00A	docs/adr/ADR-015-TFI-Kernel-Minimal-Execution-Foundation.md
SUPERSESSION	KDF-INDEX	SYNCED	KERNEL_DIFF_FOLLOWS_CORE_RC	CMP-EXT-00A	tfi-kernel/docs/design-doc.md
